filepath,filename,speaker_id,native_language,age_group,utterance_type,text,sampling_rate,split,duration
andhra_pradesh\Andhra_speaker (1).wav,Andhra_speaker (1).wav,andhra_pradesh_spk_0000,andhra_pradesh,adult,read,,44100,train,2.72
andhra_pradesh\Andhra_speaker (10).wav,Andhra_speaker (10).wav,andhra_pradesh_spk_0001,andhra_pradesh,adult,read,,44100,train,2.3
andhra_pradesh\Andhra_speaker (100).wav,Andhra_speaker (100).wav,andhra_pradesh_spk_0002,andhra_pradesh,adult,read,,44100,train,2.54
andhra_pradesh\Andhra_speaker (1000).wav,Andhra_speaker (1000).wav,andhra_pradesh_spk_0003,andhra_pradesh,adult,read,,48000,train,3.0
andhra_pradesh\Andhra_speaker (1001).wav,Andhra_speaker (1001).wav,andhra_pradesh_spk_0004,andhra_pradesh,adult,read,,48000,train,2.94
andhra_pradesh\Andhra_speaker (1002).wav,Andhra_speaker (1002).wav,andhra_pradesh_spk_0005,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1003).wav,Andhra_speaker (1003).wav,andhra_pradesh_spk_0006,andhra_pradesh,adult,read,,48000,train,3.96
andhra_pradesh\Andhra_speaker (1004).wav,Andhra_speaker (1004).wav,andhra_pradesh_spk_0007,andhra_pradesh,adult,read,,48000,train,3.66
andhra_pradesh\Andhra_speaker (1005).wav,Andhra_speaker (1005).wav,andhra_pradesh_spk_0008,andhra_pradesh,adult,read,,48000,train,3.52
andhra_pradesh\Andhra_speaker (1006).wav,Andhra_speaker (1006).wav,andhra_pradesh_spk_0009,andhra_pradesh,adult,read,,48000,train,3.34
andhra_pradesh\Andhra_speaker (1007).wav,Andhra_speaker (1007).wav,andhra_pradesh_spk_0010,andhra_pradesh,adult,read,,48000,train,4.62
andhra_pradesh\Andhra_speaker (1008).wav,Andhra_speaker (1008).wav,andhra_pradesh_spk_0011,andhra_pradesh,adult,read,,48000,train,4.56
andhra_pradesh\Andhra_speaker (1009).wav,Andhra_speaker (1009).wav,andhra_pradesh_spk_0012,andhra_pradesh,adult,read,,48000,train,3.18
andhra_pradesh\Andhra_speaker (101).wav,Andhra_speaker (101).wav,andhra_pradesh_spk_0013,andhra_pradesh,adult,read,,44100,train,2.2
andhra_pradesh\Andhra_speaker (1010).wav,Andhra_speaker (1010).wav,andhra_pradesh_spk_0014,andhra_pradesh,adult,read,,48000,train,3.46
andhra_pradesh\Andhra_speaker (1011).wav,Andhra_speaker (1011).wav,andhra_pradesh_spk_0015,andhra_pradesh,adult,read,,48000,train,3.62
andhra_pradesh\Andhra_speaker (1012).wav,Andhra_speaker (1012).wav,andhra_pradesh_spk_0016,andhra_pradesh,adult,read,,48000,train,2.76
andhra_pradesh\Andhra_speaker (1013).wav,Andhra_speaker (1013).wav,andhra_pradesh_spk_0017,andhra_pradesh,adult,read,,48000,train,4.04
andhra_pradesh\Andhra_speaker (1014).wav,Andhra_speaker (1014).wav,andhra_pradesh_spk_0018,andhra_pradesh,adult,read,,48000,train,3.04
andhra_pradesh\Andhra_speaker (1015).wav,Andhra_speaker (1015).wav,andhra_pradesh_spk_0019,andhra_pradesh,adult,read,,48000,train,3.62
andhra_pradesh\Andhra_speaker (1016).wav,Andhra_speaker (1016).wav,andhra_pradesh_spk_0020,andhra_pradesh,adult,read,,48000,train,2.7
andhra_pradesh\Andhra_speaker (1017).wav,Andhra_speaker (1017).wav,andhra_pradesh_spk_0021,andhra_pradesh,adult,read,,48000,train,3.28
andhra_pradesh\Andhra_speaker (1018).wav,Andhra_speaker (1018).wav,andhra_pradesh_spk_0022,andhra_pradesh,adult,read,,48000,train,3.22
andhra_pradesh\Andhra_speaker (1019).wav,Andhra_speaker (1019).wav,andhra_pradesh_spk_0023,andhra_pradesh,adult,read,,48000,train,2.66
andhra_pradesh\Andhra_speaker (102).wav,Andhra_speaker (102).wav,andhra_pradesh_spk_0024,andhra_pradesh,adult,read,,44100,train,2.22
andhra_pradesh\Andhra_speaker (1020).wav,Andhra_speaker (1020).wav,andhra_pradesh_spk_0025,andhra_pradesh,adult,read,,48000,train,2.28
andhra_pradesh\Andhra_speaker (1021).wav,Andhra_speaker (1021).wav,andhra_pradesh_spk_0026,andhra_pradesh,adult,read,,48000,train,2.82
andhra_pradesh\Andhra_speaker (1022).wav,Andhra_speaker (1022).wav,andhra_pradesh_spk_0027,andhra_pradesh,adult,read,,48000,train,4.5
andhra_pradesh\Andhra_speaker (1023).wav,Andhra_speaker (1023).wav,andhra_pradesh_spk_0028,andhra_pradesh,adult,read,,48000,train,4.4
andhra_pradesh\Andhra_speaker (1024).wav,Andhra_speaker (1024).wav,andhra_pradesh_spk_0029,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1025).wav,Andhra_speaker (1025).wav,andhra_pradesh_spk_0030,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1026).wav,Andhra_speaker (1026).wav,andhra_pradesh_spk_0031,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1027).wav,Andhra_speaker (1027).wav,andhra_pradesh_spk_0032,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1028).wav,Andhra_speaker (1028).wav,andhra_pradesh_spk_0033,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1029).wav,Andhra_speaker (1029).wav,andhra_pradesh_spk_0034,andhra_pradesh,adult,read,,48000,train,6.0
andhra_pradesh\Andhra_speaker (103).wav,Andhra_speaker (103).wav,andhra_pradesh_spk_0035,andhra_pradesh,adult,read,,44100,train,2.46
andhra_pradesh\Andhra_speaker (1030).wav,Andhra_speaker (1030).wav,andhra_pradesh_spk_0036,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1031).wav,Andhra_speaker (1031).wav,andhra_pradesh_spk_0037,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1032).wav,Andhra_speaker (1032).wav,andhra_pradesh_spk_0038,andhra_pradesh,adult,read,,48000,train,6.4
andhra_pradesh\Andhra_speaker (1033).wav,Andhra_speaker (1033).wav,andhra_pradesh_spk_0039,andhra_pradesh,adult,read,,48000,train,3.8
andhra_pradesh\Andhra_speaker (1034).wav,Andhra_speaker (1034).wav,andhra_pradesh_spk_0040,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1035).wav,Andhra_speaker (1035).wav,andhra_pradesh_spk_0041,andhra_pradesh,adult,read,,48000,train,6.2
andhra_pradesh\Andhra_speaker (1036).wav,Andhra_speaker (1036).wav,andhra_pradesh_spk_0042,andhra_pradesh,adult,read,,48000,train,4.4
andhra_pradesh\Andhra_speaker (1037).wav,Andhra_speaker (1037).wav,andhra_pradesh_spk_0043,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1038).wav,Andhra_speaker (1038).wav,andhra_pradesh_spk_0044,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1039).wav,Andhra_speaker (1039).wav,andhra_pradesh_spk_0045,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (104).wav,Andhra_speaker (104).wav,andhra_pradesh_spk_0046,andhra_pradesh,adult,read,,44100,train,2.5
andhra_pradesh\Andhra_speaker (1040).wav,Andhra_speaker (1040).wav,andhra_pradesh_spk_0047,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1041).wav,Andhra_speaker (1041).wav,andhra_pradesh_spk_0048,andhra_pradesh,adult,read,,48000,train,4.8
andhra_pradesh\Andhra_speaker (1042).wav,Andhra_speaker (1042).wav,andhra_pradesh_spk_0049,andhra_pradesh,adult,read,,48000,train,6.2
andhra_pradesh\Andhra_speaker (1043).wav,Andhra_speaker (1043).wav,andhra_pradesh_spk_0050,andhra_pradesh,adult,read,,48000,train,3.6
andhra_pradesh\Andhra_speaker (1044).wav,Andhra_speaker (1044).wav,andhra_pradesh_spk_0051,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1045).wav,Andhra_speaker (1045).wav,andhra_pradesh_spk_0052,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1046).wav,Andhra_speaker (1046).wav,andhra_pradesh_spk_0053,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1047).wav,Andhra_speaker (1047).wav,andhra_pradesh_spk_0054,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1048).wav,Andhra_speaker (1048).wav,andhra_pradesh_spk_0055,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1049).wav,Andhra_speaker (1049).wav,andhra_pradesh_spk_0056,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (105).wav,Andhra_speaker (105).wav,andhra_pradesh_spk_0057,andhra_pradesh,adult,read,,44100,train,2.62
andhra_pradesh\Andhra_speaker (1050).wav,Andhra_speaker (1050).wav,andhra_pradesh_spk_0058,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1051).wav,Andhra_speaker (1051).wav,andhra_pradesh_spk_0059,andhra_pradesh,adult,read,,48000,train,5.0
andhra_pradesh\Andhra_speaker (1052).wav,Andhra_speaker (1052).wav,andhra_pradesh_spk_0060,andhra_pradesh,adult,read,,48000,train,12.6
andhra_pradesh\Andhra_speaker (1053).wav,Andhra_speaker (1053).wav,andhra_pradesh_spk_0061,andhra_pradesh,adult,read,,48000,train,4.2
andhra_pradesh\Andhra_speaker (1054).wav,Andhra_speaker (1054).wav,andhra_pradesh_spk_0062,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1055).wav,Andhra_speaker (1055).wav,andhra_pradesh_spk_0063,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1056).wav,Andhra_speaker (1056).wav,andhra_pradesh_spk_0064,andhra_pradesh,adult,read,,48000,train,0.8
andhra_pradesh\Andhra_speaker (1057).wav,Andhra_speaker (1057).wav,andhra_pradesh_spk_0065,andhra_pradesh,adult,read,,48000,train,3.4
andhra_pradesh\Andhra_speaker (1058).wav,Andhra_speaker (1058).wav,andhra_pradesh_spk_0066,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1059).wav,Andhra_speaker (1059).wav,andhra_pradesh_spk_0067,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (106).wav,Andhra_speaker (106).wav,andhra_pradesh_spk_0068,andhra_pradesh,adult,read,,44100,train,8.22
andhra_pradesh\Andhra_speaker (1060).wav,Andhra_speaker (1060).wav,andhra_pradesh_spk_0069,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1061).wav,Andhra_speaker (1061).wav,andhra_pradesh_spk_0070,andhra_pradesh,adult,read,,48000,train,4.0
andhra_pradesh\Andhra_speaker (1062).wav,Andhra_speaker (1062).wav,andhra_pradesh_spk_0071,andhra_pradesh,adult,read,,48000,train,5.0
andhra_pradesh\Andhra_speaker (1063).wav,Andhra_speaker (1063).wav,andhra_pradesh_spk_0072,andhra_pradesh,adult,read,,48000,train,6.2
andhra_pradesh\Andhra_speaker (1064).wav,Andhra_speaker (1064).wav,andhra_pradesh_spk_0073,andhra_pradesh,adult,read,,48000,train,3.0
andhra_pradesh\Andhra_speaker (1065).wav,Andhra_speaker (1065).wav,andhra_pradesh_spk_0074,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1066).wav,Andhra_speaker (1066).wav,andhra_pradesh_spk_0075,andhra_pradesh,adult,read,,48000,train,5.0
andhra_pradesh\Andhra_speaker (1067).wav,Andhra_speaker (1067).wav,andhra_pradesh_spk_0076,andhra_pradesh,adult,read,,48000,train,4.6
andhra_pradesh\Andhra_speaker (1068).wav,Andhra_speaker (1068).wav,andhra_pradesh_spk_0077,andhra_pradesh,adult,read,,48000,train,5.6
andhra_pradesh\Andhra_speaker (1069).wav,Andhra_speaker (1069).wav,andhra_pradesh_spk_0078,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (107).wav,Andhra_speaker (107).wav,andhra_pradesh_spk_0079,andhra_pradesh,adult,read,,44100,train,3.38
andhra_pradesh\Andhra_speaker (1070).wav,Andhra_speaker (1070).wav,andhra_pradesh_spk_0080,andhra_pradesh,adult,read,,48000,train,5.4
andhra_pradesh\Andhra_speaker (1071).wav,Andhra_speaker (1071).wav,andhra_pradesh_spk_0081,andhra_pradesh,adult,read,,48000,train,4.4
andhra_pradesh\Andhra_speaker (1072).wav,Andhra_speaker (1072).wav,andhra_pradesh_spk_0082,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1073).wav,Andhra_speaker (1073).wav,andhra_pradesh_spk_0083,andhra_pradesh,adult,read,,48000,train,4.4
andhra_pradesh\Andhra_speaker (1074).wav,Andhra_speaker (1074).wav,andhra_pradesh_spk_0084,andhra_pradesh,adult,read,,48000,train,5.2
andhra_pradesh\Andhra_speaker (1075).wav,Andhra_speaker (1075).wav,andhra_pradesh_spk_0085,andhra_pradesh,adult,read,,48000,train,5.2
