filepath,native_language,split,source_file,word_index,duration,unit_type
word_level\andhra_pradesh\Andhra_speaker (1102)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1102).wav,0,1.29,word
word_level\andhra_pradesh\Andhra_speaker (1102)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1102).wav,1,0.83,word
word_level\andhra_pradesh\Andhra_speaker (1102)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1102).wav,2,0.41,word
word_level\andhra_pradesh\Andhra_speaker (1039)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1039).wav,0,0.99,word
word_level\andhra_pradesh\Andhra_speaker (1039)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1039).wav,1,0.4,word
word_level\andhra_pradesh\Andhra_speaker (1039)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1039).wav,2,0.62,word
word_level\andhra_pradesh\Andhra_speaker (1039)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1039).wav,3,0.77,word
word_level\andhra_pradesh\Andhra_speaker (1012)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1012).wav,0,0.22,word
word_level\andhra_pradesh\Andhra_speaker (1012)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1012).wav,1,0.65,word
word_level\andhra_pradesh\Andhra_speaker (1012)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1012).wav,2,1.23,word
word_level\andhra_pradesh\Andhra_speaker (1414)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1414).wav,0,0.36,word
word_level\andhra_pradesh\Andhra_speaker (1414)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1414).wav,1,0.79,word
word_level\andhra_pradesh\Andhra_speaker (1414)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1414).wav,2,1.32,word
word_level\andhra_pradesh\Andhra_speaker (1000)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1000).wav,0,0.46,word
word_level\andhra_pradesh\Andhra_speaker (1000)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1000).wav,1,0.59,word
word_level\andhra_pradesh\Andhra_speaker (1000)_word02.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1000).wav,2,0.38,word
word_level\andhra_pradesh\Andhra_speaker (1000)_word03.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1000).wav,3,0.35,word
word_level\andhra_pradesh\Andhra_speaker (1000)_word04.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1000).wav,4,0.8,word
word_level\andhra_pradesh\Andhra_speaker (1195)_word00.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1195).wav,0,0.24,word
word_level\andhra_pradesh\Andhra_speaker (1195)_word01.wav,andhra_pradesh,train,andhra_pradesh\Andhra_speaker (1195).wav,1,1.44,word
